Table 13												
"Hate Crime Incidents
per Bias Motivation and Quarter
by State and Agency	 2008"												
State	Agency type	Agency name	Number of incidents per bias motivation					Number of incidents per quarter1				Population2
			Race	Religion	"Sexual
orientation"	Ethnicity	Disability	"1st
quarter"	"2nd
quarter"	"3rd
quarter"	"4th
quarter"	
		Rancho Mirage	0	0	0	1	0	0	1	0	0	"17	220"
		Rancho Palos Verdes	0	1	0	0	0	1	0	0	0	"41	410"
		Red Bluff	0	0	0	1	0	1	0	0	0	"14	033"
		Redding	8	1	3	1	0	8	2	1	2	"90	881"
		Redlands	2	2	1	1	0	0	2	2	2	"70	730"
		Redondo Beach	1	0	2	2	0	2	0	2	1	"67	469"
		Redwood City	3	0	2	0	0	1	1	1	2	"73	369"
		Rialto	0	0	0	1	0	1	0	0	0	"99	485"
		Richmond	0	0	1	0	0	0	0	0	1	"101	680"
		Rio Vista	1	0	0	0	0	0	0	1	0	"7	980"
		Riverside	12	6	2	1	0	10	7	1	3	"299	384"
		Rohnert Park	1	0	0	1	0	1	0	1	0	"40	431"
		Rolling Hills Estates	1	0	0	0	0	0	1	0	0	"7	849"
		Rosemead	1	0	0	0	0	1	0	0	0	"54	633"
		Sacramento	3	3	7	0	0	4	4	3	2	"467	065"
		Salinas	0	0	1	1	0	1	1	0	0	"143	520"
		San Bernardino	4	1	4	0	0	3	1	3	2	"200	617"
		San Bruno	0	0	1	0	0	0	1	0	0	"39	999"
		San Clemente	0	0	0	1	0	0	1	0	0	"62	719"
		San Diego	22	7	17	12	0	14	10	14	20	"1	271	655"
		San Dimas	1	0	0	0	0	0	1	0	0	"35	289"
		San Fernando	0	3	0	0	0	3	0	0	0	"23	842"
		San Francisco	16	15	28	8	1	29	12	10	17	"798	144"
		San Gabriel	0	0	1	0	0	0	1	0	0	"40	691"
		San Jose	19	7	15	2	0	9	17	9	8	"945	197"
		San Leandro	1	1	0	0	0	1	0	0	1	"77	474"
		San Luis Obispo	4	3	0	1	0	2	2	1	3	"43	421"
		San Marcos	1	0	1	1	0	0	0	0	3	"81	683"
		San Marino	1	0	0	0	0	0	0	1	0	"12	902"
		San Mateo	4	3	0	1	0	5	1	0	2	"91	650"
		San Rafael	0	1	0	1	0	0	0	2	0	"55	589"
		San Ramon	1	0	0	1	0	1	0	1	0	"49	457"
		Santa Ana	0	0	1	0	0	0	0	0	1	"339	674"
		Santa Barbara	1	2	1	1	0	0	0	0	5	"85	791"
		Santa Clara	0	0	1	0	0	0	1	0	0	"110	712"
		Santa Clarita	1	0	1	1	0	0	1	2	0	"171	821"
		Santa Cruz	2	8	4	0	0	7	4	0	3	"55	255"
		Santa Fe Springs	1	0	1	0	0	0	1	1	0	"17	145"
