		Visalia	2	0	0	0	0	1	0	1	0	127604					
		Vista	2	1	0	1	0	0	1	3	0	96087					
		Walnut	Creek	0	1	0	0	0	0	0	0	1	65816					
		Watsonville	1	0	0	2	0	2	0	0	1	52064					
		West	Covina	4	1	0	1	0	0	1	3	2	107861					
		West	Hollywood	4	0	9	0	0	2	5	2	4	34971					
		Yorba	Linda	0	1	0	0	0	0	0	0	1	65820					
		Yucaipa	1	0	0	0	0	0	1	0	0	52622					
	Universities	and	Colleges		15	7	4	6	1										
		Allan	Hancock	College	1	0	0	2	0	0	1	0	2	10955					
		California	State	Polytechnic	University		Pomona	0	0	1	0	0	0	0	0	1	21107					
		California	State	University:															
		Dominguez	Hills	1	0	0	0	0	0	0	0	1	14364					
		Fullerton	1	1	1	0	0	1	1	1	0	36156					
		Long	Beach	1	0	0	0	0	0	0	0	1	34870					
		Northridge	3	0	0	0	0	3	0	0	0	36911					
		San	Jose	0	0	1	1	0	0	0	0	2	30236					
		San	Marcos	0	2	0	0	0	0	0	0	2	10276					
		Marin	Community	College	1	0	0	0	0	0	0	1	0	7075					
		Riverside	Community	College	1	0	0	0	0	0	0	1	0	18395					
		San	Diego	State	University	1	0	0	0	0	0	1	0	0	30541					
		Santa	Rosa	Junior	College	0	0	0	1	1	0	1	1	0	24199					
		University	of	California:															
		Berkeley	1	1	1	2	0	0	1	2	2	36137					
		Irvine	1	0	0	0	0	0	0	1	0	27189					
		Los	Angeles	1	0	0	0	0	1	0	0	0	39271					
		Riverside	1	1	0	0	0	1	1	0	0	20900					
		San	Diego	0	1	0	0	0	1	0	0	0	28593					
		San	Francisco	1	1	0	0	0	0	2	0	0	3054					
	Metropolitan	Counties		48	13	21	28	0										
		Alameda	0	0	0	1	0	0	0	0	1						
		Butte	1	0	0	0	0	1	0	0	0						
		Contra	Costa	1	0	0	0	0	0	1	0	0								
		El	Dorado	1	1	2	0	0	1	2	0	1						
		Kern	1	0	0	0	0	0	0	0	1						
		Los	Angeles	12	3	5	7	0	9	5	11	2						
		Monterey	1	0	0	0	0	1	0	0	0						
		Orange	2	0	0	0	0	0	1	1	0						
		Riverside	1	0	2	0	0	0	0	1	2						
		Sacramento	12	2	2	4	0	5	7	4	4						
		San	Bernardino	0	0	1	0	0	1	0	0	0						
		San	Diego	11	5	1	7	0	3	9	7	5						
		Santa	Clara	1	0	0	1	0	0	0	1	1						
		Santa	Cruz	2	1	2	3	0	3	3	2	0						
		Solano	0	0	0	1	0	1	0	0	0						
		Sonoma	0	0	3	1	0	0	1	3	0						
		Stanislaus	1	0	1	0	0	0	1	1	0						
		Tulare	0	1	0	0	0	0	1	0	0						
		Ventura	1	0	1	2	0	2	0	1	1						
		Yuba	0	0	1	1	0	0	0	1	1						
	Nonmetropolitan	Counties		3	0	2	1	0										
		Amador	0	0	1	1	0	2	0	0	0						
		Lake	2	0	1	0	0	1	2	0	0						
		Tuolumne	1	0	0	0	0	1	0	0	0						
	Other	Agencies		17	1	4	2	0										
		Department	of	Parks	and	Recreation		Northern	Buttes	0	1	0	0	0	1	0	0	0						
		Los	Angeles	Transportation	Services	Bureau	9	0	1	1	0	1	4	3	3						
		Port	of	San	Diego	Harbor	0	0	1	0	0	0	0	0	1						
		Santa	Clara	Transit	District	1	0	0	0	0	1	0	0	0						
		San	Francisco	Bay	Area	Rapid	Transit:															
		Alameda	County	2	0	1	0	0	0	1	2	0						
		Contra	Costa	County	1	0	0	1	0	0	2	0	0						
		San	Francisco	County	3	0	0	0	0	2	1	0	0						
		San	Mateo	County	1	0	0	0	0	0	0	1	0						
		Stockton	Unified	School	District	0	0	1	0	0	1	0	0	0						
COLORADO    Total		87	34	33	35	0										
	Cities		74	26	24	29	0										
		Aspen	1	0	0	0	0	0	0	1	0	6734					
		Aurora	2	0	1	0	0	1	0	1	1	336952					
		Berthoud	1	0	0	0	0	1	0	0	0	5278					
		Boulder	0	0	0	1	0	0	1	0	0	100257					
		Canon	City	0	0	2	0	0	0	0	1	1	16727					
		Centennial	3	0	0	0	0	1	1	1	0	104022					
		Colorado	Springs	8	8	1	1	0	0	5	7	6	432287					
		Craig	2	1	1	1	0	0	0	5	0	9357					
		Denver	21	6	12	6	0	11	8	13	13	628545					
		Durango	2	0	0	0	0	0	1	1	0	17305					
		Englewood	2	0	0	0	0	0	1	1	0	31358						
		Fort	Collins	2	0	0	0	0	0	0	1	1	148792					
		Fountain	4	0	0	0	0	0	0	3	1	26841					
		Frisco	0	0	0	1	0	0	1	0	0	2717					
		Glendale	2	0	0	1	0	0	0	1	2	4493					
		Glenwood	Springs	2	1	0	0	0	0	0	1	2	9727					
		Grand	Junction	0	0	3	1	0	1	0	3	0	59516					
		Greeley	4	1	0	1	0	3	1	2	0	96276					
		Hotchkiss	0	1	0	0	0		1	0	0	942					
		Johnstown	1	0	0	0	0	0	0	1	0	10259					
		Lafayette	2	5	0	1	0	0	1	3	4	25209					
		La	Junta	0	0	0	1	0	0	0	1	0	7187					
		Lakewood	1	0	1	0	0	0	0	0	2	146404					
		Littleton	2	0	0	0	0	2	0	0	0	43229					
		Lone	Tree	2	2	0	3	0	1	3	2	1	88925					
		Longmont	3	1	1	2	0	4	3	0	0	69147					
		Meeker	0	0	0	1	0	0	0	1	0	2554					
		Monument	0	0	1	1	0	0	2	0	0	5744					
		Parker	1	0	0	0	0	0	1	0	0	47004					
		Pueblo	1	0	0	2	0	2	1	0	0	109065					
		Sheridan	0	0	0	1	0	0	0	1	0	5871					
		Steamboat	Springs	1	0	0	0	0	0	1	0	0	12116					
		Sterling	0	0	0	2	0	2	0	0	0	14929					
		Telluride	0	0	0	1	0	0	1	0	0	2401					
		Westminster	1	0	0	0	0	0	0	0	1	109461					
		Wheat	Ridge3	2	0	1	0	0	1	1	1	0	30886					
		Windsor	1	0	0	1	0	0	1	1	0	19330					
	Universities	and	Colleges		3	0	2	0	0										
		Auraria	Higher	Education	Center4	1	0	0	0	0	0	0	0	1						
		Colorado	State	University		Fort	Collins	1	0	2	0	0	0	1	1	1	30467					
		University	of	Northern	Colorado	1	0	0	0	0	0	0	1	0	13038					
	Metropolitan	Counties		7	7	4	5	0										
		Adams	1	0	0	2	0	0	1	1	1						
		Arapahoe	2	3	1	0	0	2	0	4	0						
		Jefferson	1	3	1	1	0	3	0	2	1						
		Larimer	2	1	2	1	0	3	0	1	2						
		Mesa	1	0	0	1	0	1	1	0	0						
	Nonmetropolitan	Counties		3	1	3	1	0										
		Bent	0	0	1	0	0	0	0	1	0						
		Chaffee	0	1	1	0	0	1	1	0	0						
		Kit	Carson	0	0	0	1	0	0	0	1	0						
		Montrose	2	0	0	0	0	0	1	1	0						
		Summit	1	0	1	0	0	1	0	1	0						
CONNECTICUT Total		65	20	37	25	2										
	Cities		62	19	32	22	2										
		Berlin	0	1	0	0	0	0	1	0	0	19935					
		Bloomfield	0	0	0	1	0	0	0	1	0	20557					
		Bridgeport	2	0	3	1	0	0	2	1	3	146030					
		Bristol	1	0	0	0	0	0	1	0	0	60688					
		Canton	0	1	0	0	0	0	0	1	0	10328					
		Coventry	0	1	1	0	0	1	1	0	0	12451					
		Derby	1	0	0	0	0	0	0	0	1	12917					
		Enfield	3	1	0	0	0	1	0	1	2	44806					
		Glastonbury	1	0	0	0	0	0	0	1	0	34547					
		Groton	0	1	0	0	0	0	0	1	0	10397					
		Groton	Town	0	2	1	0	0	2	0	1	0	29231					
		Hamden	0	0	0	1	0	0	0	1	0	61032					
		Hartford	0	0	3	1	0	2	1	1	0	125203					
		Manchester	10	2	3	1	0	6	4	3	3	58444					
		Middletown	2	1	0	1	1	1	2	2	0	47878					
		Milford	2	0	0	0	0	0	1		1	52817					
		Naugatuck	1	0	0	0	0	0	0	0	1	31896					
		New	Britain	0	0	1	0	0	0	0	1	0	73458					
		New	Canaan	1	0	0	0	0	0	1	0	0	19992					
		New	Haven	6	0	3	3	0	5	1	4	2	129934					
		Newington	1	0	0	0	0	0	1	0	0	30668					
		New	London	3	0	2	1	0	2	0	3	1	27643					
		New	Milford	0	0	0	1	0	0	1	0	0	28047					
		Newtown	0	0	1	0	0	1	0	0	0	27904					
		Norwalk	2	0	0	0	0	0	1	0	1	86693					
		Norwich	2	1	2	0	0	3	2	0	0	40517					
		Old	Saybrook	2	0	0	0	0	0	0	1	1	10293					
		Orange	1	0	0	0	0	1	0	0	0	13971					
		Seymour	2	0	2	0	0	1	1	1	1	16558					
		Shelton	1	0	0	0	0	0	1	0	0	40062					
		Simsbury	1	0	0	0	0	0	1	0	0	23591					
		Southington	2	0	0	4	0	1	2	1	2	43219					
		Stamford	1	0	2	2	1	1	1	2	2	124201					
		Stonington	1	0	2	0	0	0	0	2	1	18556					
		Stratford	2	1	0	0	0	2	1	0	0	52041					
		Torrington	3	3	1	1	0	1	1	3	3	36264					
		Wallingford	2	1	3	1	0	2	1	4	0	45183					
		Waterbury	2	1	1	2	0	3	0	3	0	110486					
		West	Hartford	0	1	1	1	0	1	0	1	1	63487					
		West	Haven	2	0	0	0	0	1	1	0	0	55626					
		Windsor	1	0	0	0	0	0	0	0	1	29145					
		Windsor	Locks	1	0	0	0	0	0	1	0	0	12541					
		Wolcott	0	1	0	0	0	0	1	0	0	16697					
	Universities	and	Colleges		1	1	4	1	0										
		Central	Connecticut	State	University	0	0	1	0	0	1	0	0	0	12521					
		University	of	Connecticut		Storrs		Avery	Point		and	Hartford4	1	0	0	1	0	0	0	2	0						
		Western	Connecticut	State	University	0	1	3	0	0	3	1	0	0	6407					
	State	Police	Agencies		2	0	0	2	0										
		Connecticut	State	Police	2	0	0	2	0	2	1	0	1						
	Other	Agencies		0	0	1	0	0										
		Metropolitan	Transportation	Authority	0	0	1	0	0	0	0	1	0						
DELAWARE    Total		5	1	2	2	0										
	Cities		2	0	1	1	0										
		Milton	1	0	0	0	0	0	0	1	0	2650					
		Wilmington	1	0	1	1	0	0	2	1	0	72088					
	Metropolitan	Counties		2	0	0	1	0										
		New	Castle	County	Police	Department	2	0	0	1	0	0	1	0	2						
	State	Police	Agencies		1	1	1	0	0										
		State	Police:															
		New	Castle	County	0	1	0	0	0	1	0	0	0						
		Sussex	County	1	0	1	0	0	1	0	1	0						
DISTRICT OF COLUMBIA    Total		13	6	47	5	1										
	Cities		13	6	46	5	1										
		Washington	13	6	46	5	1	19	19	19	14	632323					
	Other	Agencies		0	0	1	0	0										
		Metro	Transit	Police	0	0	1	0	0	0	0	1	0						
FLORIDA    Total		77	16	42	8	1										
	Cities		43	13	25	4	1										
		Apopka	1	0	0	0	0	1	0	0	0	43046					
		Aventura	1	0	0	0	0	0	1	0	0	37110					
		Bartow	0	0	1	0	0	0	0	1	0	17740					
		Cape	Coral	1	0	0	0	0	0	0	0	1	159625					
		Casselberry	1	0	0	0	0	0	1	0	0	26747					
		Clermont	1	0	0	0	0	1	0	0	0	29523					
		Coral	Gables	1	1	0	0	0	0	1	1	0	48435					
		Deland	0	0	1	0	0	0	1	0	0	27410					
		Fort	Lauderdale	0	0	1	0	0	0	0	1	0	170827					
		Fort	Myers	1	0	0	0	0	1	0	0	0	64379					
		Gainesville	4	0	1	0	0	1	0	3	1	127036					
		Green	Cove	Springs	1	0	0	0	0	1	0	0	0	7053					
		Homestead	2	1	0	0	0	1	1	1	0	62785					
		Jacksonville	2	1	1	0	0	2	1	0	1	840660					
		Jupiter	2	0	1	0	0	0	3	0	0	56674					
		Key	West	0	0	4	0	0	2	1	1	0	25249					
		Lake	Clarke	Shores	0	1	0	0	0	1	0	0	0	3462					
		Lakeland	1	0	0	0	0	1	0	0	0	99934					
		Largo	1	0	1	0	0	0	0	0	2	78783					
		Leesburg	0	0	1	0	0	0	0	0	1	20668					
		Melbourne	4	2	3	0	0	3	5	1	0	77133					
		Miami	Gardens	0	0	1	1	0	0	0	1	1	111177					
		Miramar	2	0	0	1	0	2	1	0	0	125998					
		New	Smyrna	Beach	1	0	0	0	0	0	0	0	1	22788					
		North	Port	1	3	0	0	0	1	0	2	1	58568					
		Oakland	Park	1	0	0	0	0	0	1	0	0	42701					
		Ocoee	1	0	0	0	0	0	0	0	1	36816					
		Orange	Park	1	0	0	0	0	1	0	0	0	8592					
		Orlando	1	0	1	1	0	1	2	0	0	246513					
